,Image,F1,Jaccard,Recall,Precision,Accuracy
29,archive\images\2046.png,0.8840522358527898,0.7921985815602837,0.8012912482065997,0.9858781994704324,0.9955291748046875
30,archive\images\3.png,0.9598348348348349,0.9227715626127752,0.9641779788838613,0.9555306427503737,0.996734619140625
31,archive\images\1270.png,0.6904761904761905,0.5272727272727272,0.8207547169811321,0.5958904109589042,0.998809814453125
32,archive\images\573.png,0.9519172245891661,0.908246225319396,0.9738480697384807,0.930952380952381,0.9987945556640625
33,archive\images\861.png,0.0011560693641618496,0.000578368999421631,0.000578368999421631,1.0,0.9208984375
34,archive\images\2463.png,0.25605050859347595,0.14682220434432824,1.0,0.14682220434432824,0.9676361083984375
35,archive\images\1326.png,0.9192708333333333,0.8506024096385543,0.8673218673218673,0.9778393351800554,0.999053955078125
36,archive\images\528.png,0.937080024434942,0.8816091954022989,0.9935233160621761,0.8867052023121387,0.9984283447265625
37,archive\images\461.png,0.8526315789473684,0.7431192660550459,0.9257142857142857,0.7902439024390244,0.998291015625
38,archive\images\803.png,0.7686472819216181,0.6242299794661191,0.7065659500290529,0.8426888426888427,0.98883056640625
39,archive\images\1392.png,0.9655797101449275,0.9334500875656743,0.9673321234119783,0.9638336347197106,0.999420166015625
40,archive\images\298.png,0.8909426987060998,0.8033333333333333,0.8892988929889298,0.8925925925925926,0.9990997314453125
41,archive\images\3005.png,0.6819047619047619,0.5173410404624278,0.5256975036710719,0.9701897018970189,0.994903564453125
42,archive\images\1239.png,0.9086479902557857,0.8325892857142857,0.951530612244898,0.8694638694638694,0.9988555908203125
43,archive\images\2839.png,0.0,0.0,0.0,0.0,0.970001220703125
44,archive\images\2605.png,0.697716894977169,0.5357643758765779,0.8691695108077361,0.5827612509534706,0.97979736328125
45,archive\images\1529.png,0.9226569608735214,0.856418918918919,0.9638783269961977,0.8848167539267016,0.9987030029296875
46,archive\images\574.png,0.9649484536082474,0.9322709163346613,0.9957446808510638,0.936,0.9987030029296875
47,archive\images\2574.png,0.9493369602176129,0.9035598705501618,0.9594501718213059,0.9394347240915208,0.9977264404296875
48,archive\images\1702.png,0.8905109489051094,0.8026315789473685,0.991869918699187,0.8079470198675497,0.99908447265625
49,archive\images\1732.png,0.739764052741152,0.5870044052863436,1.0,0.5870044052863436,0.988555908203125
50,archive\images\1266.png,0.11494252873563218,0.06097560975609756,0.06097560975609756,1.0,0.9988250732421875
51,archive\images\1808.png,0.7018181818181818,0.5406162464985994,1.0,0.5406162464985994,0.9949951171875
52,archive\images\1085.png,0.7171314741035857,0.5590062111801242,0.5648535564853556,0.9818181818181818,0.9967498779296875
53,archive\images\653.png,0.9799825935596171,0.9607508532423208,0.9763005780346821,0.9836924868957484,0.9989471435546875
54,archive\images\2791.png,0.5416433761878144,0.3714066692219241,0.3773364485981308,0.9594059405940594,0.9749755859375
55,archive\images\1187.png,0.9684791174152876,0.9388846447669977,0.9497681607418856,0.9879421221864951,0.998779296875
56,archive\images\2744.png,0.8009205983889528,0.6679462571976967,0.7204968944099379,0.9015544041450777,0.994720458984375
57,archive\images\1023.png,0.9302857142857143,0.8696581196581197,0.8838219326818675,0.9819059107358263,0.998138427734375
58,archive\images\1667.png,0.9558599695585996,0.9154518950437318,0.98125,0.9317507418397626,0.9995574951171875
59,archive\images\904.png,0.9453044375644996,0.8962818003913894,0.9924160346695557,0.9024630541871921,0.998382568359375
60,archive\images\701.png,0.9564850021123784,0.9165991902834008,0.9255928045789044,0.9895104895104895,0.9984283447265625
61,archive\images\381.png,0.9039463886820551,0.8247282608695652,0.9727564102564102,0.8442280945757997,0.9980316162109375
62,archive\images\478.png,0.0,0.0,0.0,0.0,0.996429443359375
63,archive\images\1354.png,0.9431689875799774,0.8924501424501424,0.9594180704441041,0.927461139896373,0.9976959228515625
64,archive\images\2701.png,0.9490333919156414,0.903010033444816,0.9054325955734407,0.9970457902511078,0.9977874755859375
65,archive\images\1689.png,0.9053380782918149,0.8270481144343304,0.9366715758468336,0.8760330578512396,0.9979705810546875
66,archive\images\2672.png,0.8989675516224189,0.8164768921634293,0.8236486486486486,0.989448051948052,0.99163818359375
67,archive\images\2524.png,0.5763842561707806,0.40487347703842547,0.7686832740213523,0.4610458911419424,0.9903106689453125
68,archive\images\2026.png,0.0,0.0,0.0,0.0,0.9930419921875
69,archive\images\2356.png,0.8972403776325346,0.8136318735594337,0.8828152911754198,0.9121447028423773,0.991363525390625
70,archive\images\527.png,0.9290322580645162,0.8674698795180723,0.9960474308300395,0.8704663212435233,0.9988250732421875
71,archive\images\1142.png,0.88,0.7857142857142857,0.9943502824858758,0.7892376681614349,0.99853515625
72,archive\images\1562.png,0.8069705093833781,0.6764044943820224,0.9933993399339934,0.6794582392776524,0.997802734375
73,archive\images\1668.png,0.955958549222798,0.9156327543424317,0.9710526315789474,0.9413265306122449,0.999481201171875
74,archive\images\1837.png,0.9545983701979045,0.9131403118040089,0.98676293622142,0.9244644870349493,0.998809814453125
75,archive\images\294.png,0.953757225433526,0.9116022099447514,0.9205020920502092,0.9895052473763118,0.9990234375
76,archive\images\2157.png,0.8286516853932585,0.7074340527577938,0.7074340527577938,1.0,0.99627685546875
